Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United States,USA,"Population, total",SP.POP.TOTL,249623000,282162411,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,..
United States,USA,Population growth (annual %),SP.POP.GROW,1.12965052045579,1.11276899679534,0.720017688665691,0.727268997193117,0.686773155567634,0.727517695817155,0.730641178178307,0.716669413429853,0.631007893230758,0.522337357899676,0.473953539373292,..
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9629090,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..,..
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,27.2545136128993,30.7973013298523,34.0595352569358,34.3081426238218,34.5445726773232,34.7968069685223,35.0519778254415,35.3040869447341,35.5275628537883,35.7136220923495,..,..
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,0.7,1,1,1,1.2,1.2,1,1.2,1,..,..
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6006223905840,10147603798457.8,15756881924564.8,16560497008076.9,17048936788391.2,17781409349033.6,18197349776610.3,18476295400031.9,19200736793172.6,20637489438262.7,21615817525647.1,..
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24060,35960,50570,52770,53950,55860,56750,57210,59080,63170,65850,..
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5902290000000,10383859000000,15832207000000,16670651000000,17175898000000,18057489000000,18704317000000,19045164000000,19830277000000.1,20837347000000.1,21690012900000,..
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23640,36800,50820,53120,54360,56730,58340,58970,61020,63780,66080,..
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,..,5.5,5.2,5.2,5.3,5.2,5.3,5.2,5.2,5.2,..,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2146341463415,76.6365853658537,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,..
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.081,2.056,1.8945,1.8805,1.8575,1.8625,1.8435,1.8205,1.7655,1.7295,1.705,..
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.0142,46.1652,30.2658,27.937,26.3216,24.7062,23.0908,21.4754,19.86,18.5562,17.2524,..
United States,USA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,70.7,..,..,74.1,74.1,72.70028,72.70028,75.9371810574748,75.9371810574748,..,73.9,..
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.2,99.4,99.3,99.3,99.2,98.5,99.1,99.1,99.1,99.1,..,..
United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.2,8.4,7.2,7.1,7,6.9,6.8,6.7,6.7,6.6,6.5,..
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,1.1,..,0.5,..,0.7,..,1.4,..,0.4,..,..
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,91,92,91,92,92,92,92,92,92,90,..
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,98.8321990966797,100.092697143555,..,..
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.033233642578,100.729957580566,99.3898773193359,99.1653213500977,99.455436706543,99.6733779907227,100.299911499023,101.362861633301,101.821441650391,101.256561279297,..,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.4817810058594,94.0496368408203,95.9938201904297,96.251708984375,96.1864929199219,96.9245376586914,97.6525497436523,98.7699279785156,98.9523391723633,99.2755813598633,..,..
United States,USA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.997739970684052,0.999350011348724,1.00434005260468,0.994899988174438,0.997099995613098,1.00423002243042,1.00507998466492,0.996259987354279,0.993629992008209,0.994700014591217,..,..
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3024500,3035360,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,..,..
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,26.326199718432,26.328083601169,26.328083601169,..,..
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,15.2249270656423,..,..,..,..,15.7699117024308,..,..,..
United States,USA,Urban population growth (annual %),SP.URB.GROW,1.41025628541903,1.51201139138713,0.932736350679415,0.943234600380991,0.908423329547718,0.953587018384507,0.961098538767768,0.950261502244321,0.870149208464894,0.763339371824656,0.720439853390911,..
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7671.7730657832,8056.86384994775,7030.55496056877,6873.04927088303,6907.04604045685,6962.54981699587,6806.19993946204,..,..,..,..,..
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.3227511807806,20.1787505069199,16.9152017650556,16.1934293295892,16.3622241347427,16.4165759129484,15.989866258056,15.502203980958,..,..,..,..
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,11713.3317042099,13671.0520240061,13247.0131280108,12966.1159339299,13006.7492006922,12997.4486288777,..,..,..,..,..,..
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,5963144000000,10252345464000,15542581104000,16197007349000,16784849196000,17527163695000,18224704440000,18714960538000,19519353692000,20580159776000,21433226000000,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.88596032430949,4.12748401141975,1.55083550424324,2.24954585097743,1.84208107011949,2.52597345040711,2.90802186128343,1.63783845703892,2.36980078440416,2.92732573232968,2.16117628829923,..
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.74333445632146,2.23547441123833,2.08890377813606,1.9178490081095,1.75491578553326,1.8498274668072,1.04146187127856,1.03526887876487,1.88368859016883,2.43600189593653,1.94194523627264,..
United States,USA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,1.15045636546451,1.21648753662505,1.15882894880324,1.3335136788321,1.18557101774133,1.03766398858538,0.935222255182508,0.941850621188078,0.864583083594423,..,..
